code,name,trades,win_rate,final_pnl,max_dd,avg_pnl
3401,帝人,5,80.0,20657,-0.46,4131
7383,ネットプロテクションズホールディングス,11,63.6,20425,-0.56,1856
4384,ラクスル,9,55.6,20387,-1.46,2265
212A,フィットイージー,5,60.0,20212,-3.6,4042
1959,クラフティア,7,57.1,20102,-1.64,2871
8053,住友商事,9,88.9,20014,-0.82,2223
7609,ダイトロン,10,60.0,20013,-1.69,2001
6326,クボタ,8,50.0,19995,-1.23,2499
9702,アイ・エス・ビー,9,66.7,19959,-0.97,2217
4118,カネカ,10,70.0,19954,-0.89,1995
1946,トーエネック,13,53.8,19940,-2.07,1533
7537,丸文,6,83.3,19918,-0.64,3319
5938,ＬＩＸＩＬ,5,80.0,19885,-0.48,3977
3708,特種東海製紙,12,66.7,19835,-0.62,1652
3864,三菱製紙,10,60.0,19817,-0.52,1981
6381,アネスト岩田,9,55.6,19753,-1.6,2194
2378,ルネサンス,10,70.0,19695,-0.28,1969
3139,ラクト・ジャパン,5,60.0,19682,-1.2,3936
6005,三浦工業,7,57.1,19593,-1.43,2799
9020,東日本旅客鉄道,13,53.8,19495,-1.38,1499
1720,東急建設,8,62.5,19470,-0.97,2433
2695,くら寿司,5,60.0,19385,-0.71,3877
4246,ダイキョーニシカワ,12,66.7,19342,-0.35,1611
5011,ニチレキグループ,6,66.7,19310,-0.53,3218
8101,ＧＳＩクレオス,10,60.0,19307,-0.8,1930
8334,群馬銀行,13,53.8,19209,-2.16,1477
8032,日本紙パルプ商事,11,63.6,19061,-0.28,1732
4044,セントラル硝子,6,66.7,19055,-1.07,3175
8524,北洋銀行,18,61.1,18997,-0.7,1055
4216,旭有機材,6,66.7,18987,-0.84,3164
8793,ＮＥＣキャピタルソリューション,13,53.8,18937,-1.49,1456
1332,ニッスイ,10,60.0,18756,-0.39,1875
9273,コーア商事ホールディングス,10,80.0,18749,-0.33,1874
9601,松竹,15,53.3,18612,-1.62,1240
2749,ＪＰホールディングス,11,81.8,18336,-0.54,1666
5201,ＡＧＣ,7,71.4,18152,-0.6,2593
7180,九州フィナンシャルグループ,9,66.7,18101,-0.86,2011
9532,大阪瓦斯,10,70.0,18082,-0.94,1808
7327,第四北越フィナンシャルグループ,21,52.4,18080,-2.64,860
6331,三菱化工機,11,45.5,18039,-2.91,1639
9435,光通信,15,53.3,17770,-2.09,1184
4686,ジャストシステム,12,50.0,17762,-2.19,1480
6349,小森コーポレーション,14,64.3,17713,-1.08,1265
4521,科研製薬,8,62.5,17696,-0.85,2212
4503,アステラス製薬,6,50.0,17653,-1.27,2942
8137,サンワテクノス,13,53.8,17533,-1.5,1348
8174,日本瓦斯,8,62.5,17508,-0.7,2188
9746,ＴＫＣ,9,66.7,17382,-1.25,1931
3076,あい　ホールディングス,5,80.0,17310,-0.92,3462
7226,極東開発工業,11,54.5,17075,-2.45,1552
6856,堀場製作所,13,53.8,16905,-1.96,1300
7989,立川ブラインド工業,12,50.0,16855,-1.06,1404
4613,関西ペイント,7,71.4,16825,-0.85,2403
3880,大王製紙,7,57.1,16665,-0.35,2380
6328,荏原実業,9,55.6,16410,-3.54,1823
4718,早稲田アカデミー,19,57.9,16370,-1.93,861
6925,ウシオ電機,9,55.6,16369,-1.06,1818
6741,日本信号,10,50.0,16338,-0.61,1633
5602,栗本鐵工所,8,62.5,16204,-1.05,2025
4554,富士製薬工業,8,62.5,16161,-0.77,2020
8308,りそなホールディングス,14,50.0,16146,-2.05,1153
4553,東和薬品,9,55.6,16101,-1.62,1789
8850,スターツコーポレーション,17,47.1,16085,-2.38,946
7172,ジャパンインベストメントアドバイザー,9,55.6,15997,-1.35,1777
4205,日本ゼオン,7,71.4,15990,-0.63,2284
6798,ＳＭＫ,8,50.0,15975,-2.18,1996
7246,プレス工業,8,62.5,15965,-0.38,1995
7936,アシックス,14,50.0,15957,-4.29,1139
6070,キャリアリンク,6,83.3,15912,-0.78,2652
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,8,50.0,15795,-2.78,1974
3099,三越伊勢丹ホールディングス,8,50.0,15794,-3.71,1974
4028,石原産業,7,57.1,15730,-1.5,2247
6644,大崎電気工業,17,64.7,15697,-1.65,923
3915,テラスカイ,10,50.0,15627,-4.72,1562
5726,大阪チタニウムテクノロジーズ,6,50.0,15394,-1.94,2565
9412,スカパーＪＳＡＴ,12,50.0,15343,-1.76,1278
1835,東鉄工業,13,53.8,15263,-2.73,1174
7613,シークス,5,80.0,15208,-0.51,3041
4116,大日精化工業,10,60.0,15192,-1.3,1519
8370,紀陽銀行,20,45.0,15192,-1.96,759
4042,東ソー,13,53.8,15080,-1.19,1160
7510,たけびし,13,53.8,15004,-2.62,1154
6301,小松製作所,14,57.1,14989,-1.77,1070
8282,ケーズホールディングス,10,60.0,14946,-0.93,1494
9869,加藤産業,10,60.0,14850,-1.06,1485
7181,かんぽ生命保険,8,62.5,14849,-0.83,1856
6908,イリソ電子工業,15,53.3,14807,-2.65,987
9519,レノバ,5,60.0,14765,-1.32,2953
7202,いすゞ自動車,6,66.7,14752,-1.06,2458
6845,アズビル,7,71.4,14709,-0.27,2101
3465,ケイアイスター不動産,11,45.5,14685,-3.39,1335
4923,コタ,5,80.0,14569,-0.43,2913
5384,フジミインコーポレーテッド,8,62.5,14532,-2.14,1816
4681,リゾートトラスト,12,58.3,14451,-1.74,1204
3002,グンゼ,9,55.6,14376,-1.07,1597
6340,澁谷工業,10,50.0,14350,-1.68,1435
8016,オンワードホールディングス,11,72.7,14346,-0.3,1304
3836,アバントグループ,10,50.0,14259,-1.89,1425
8714,池田泉州ホールディングス,14,57.1,14253,-1.0,1018
2211,不二家,9,55.6,14230,-0.82,1581
7943,ニチハ,6,50.0,14180,-0.9,2363
6367,ダイキン工業,7,57.1,13931,-1.95,1990
6480,日本トムソン,9,55.6,13832,-0.62,1536
4751,サイバーエージェント,12,58.3,13779,-1.84,1148
1852,淺沼組,13,53.8,13731,-0.61,1056
3964,オークネット,12,66.7,13726,-0.88,1143
3608,ＴＳＩホールディングス,7,85.7,13687,-0.49,1955
9658,ビジネスブレイン太田昭和,16,56.2,13663,-1.13,853
6058,ベクトル,7,57.1,13595,-0.56,1942
3837,アドソル日進,16,56.2,13577,-1.28,848
8616,東海東京フィナンシャル・ホールディングス,10,70.0,13564,-0.44,1356
6258,平田機工,9,66.7,13544,-1.26,1504
4997,日本農薬,11,54.5,13530,-1.1,1230
1929,日特建設,10,60.0,13528,-0.6,1352
5302,日本カーボン,8,62.5,13495,-0.73,1686
8367,南都銀行,19,52.6,13480,-1.43,709
5186,ニッタ,12,75.0,13356,-0.69,1113
3156,レスター,7,57.1,13346,-0.82,1906
6240,ヤマシンフィルタ,10,60.0,13318,-0.65,1331
8103,明和産業,14,64.3,13270,-0.53,947
7278,エクセディ,11,54.5,13146,-2.39,1195
4064,日本カーバイド工業,14,64.3,13126,-2.71,937
2815,アリアケジャパン,5,60.0,13117,-1.71,2623
6996,ニチコン,12,50.0,13087,-1.74,1090
4538,扶桑薬品工業,10,50.0,12905,-2.04,1290
2288,丸大食品,17,47.1,12897,-1.44,758
7245,大同メタル工業,9,55.6,12802,-1.61,1422
4694,ビー・エム・エル,10,50.0,12734,-1.39,1273
8141,新光商事,15,46.7,12721,-1.1,848
5929,三和ホールディングス,6,50.0,12674,-1.12,2112
5714,ＤＯＷＡホールディングス,10,60.0,12626,-3.06,1262
4151,協和キリン,13,46.2,12612,-1.94,970
7381,ＣＣＩグループ,11,63.6,12555,-0.66,1141
3861,王子ホールディングス,8,75.0,12548,-0.16,1568
8541,愛媛銀行,10,50.0,12482,-1.38,1248
4061,デンカ,6,66.7,12200,-1.07,2033
8892,エスコン,15,60.0,12167,-0.78,811
7596,魚力,11,54.5,12099,-1.47,1099
3656,ＫＬａｂ,5,80.0,11853,-0.36,2370
6302,住友重機械工業,5,60.0,11796,-0.69,2359
8242,エイチ・ツー・オー　リテイリング,12,50.0,11697,-2.57,974
7241,フタバ産業,10,60.0,11623,-0.74,1162
7981,タカラスタンダード,7,71.4,11612,-0.94,1658
1925,大和ハウス工業,10,60.0,11610,-1.43,1161
3877,中越パルプ工業,7,57.1,11396,-0.91,1628
3388,明治電機工業,13,53.8,11360,-1.4,873
8159,立花エレテック,8,50.0,11287,-0.76,1410
9304,澁澤倉庫,14,57.1,11229,-1.28,802
4220,リケンテクノス,17,52.9,11136,-1.65,655
9744,メイテックグループホールディングス,9,66.7,11128,-1.46,1236
8630,ＳＯＭＰＯホールディングス,10,60.0,11000,-0.49,1100
6961,エンプラス,5,60.0,10972,-1.34,2194
6508,明電舎,13,46.2,10933,-3.49,841
9039,サカイ引越センター,12,50.0,10931,-1.25,910
6728,アルバック,6,50.0,10883,-1.65,1813
4809,パラカ,9,66.7,10832,-0.85,1203
1414,ショーボンドホールディングス,5,80.0,10785,-0.64,2157
9404,日本テレビホールディングス,8,50.0,10589,-1.25,1323
3201,日本毛織,9,55.6,10548,-1.09,1172
9743,丹青社,7,71.4,10547,-0.57,1506
6742,京三製作所,9,66.7,10445,-0.3,1160
3482,ロードスターキャピタル,7,57.1,10380,-1.65,1482
4046,大阪ソーダ,5,60.0,10365,-0.65,2073
8136,サンリオ,15,60.0,10339,-3.44,689
2676,高千穂交易,13,61.5,10288,-1.49,791
5844,京都フィナンシャルグループ,12,58.3,10233,-1.59,852
7322,三十三フィナンシャルグループ,14,50.0,10232,-1.08,730
7762,シチズン時計,6,66.7,10227,-0.51,1704
3105,日清紡ホールディングス,11,54.5,10210,-0.72,928
8393,宮崎銀行,13,53.8,10167,-0.84,782
1882,東亜道路工業,15,53.3,10117,-1.22,674
6078,バリューＨＲ,11,54.5,10088,-1.37,917
7294,ヨロズ,7,57.1,10040,-0.99,1434
6503,三菱電機,12,50.0,9930,-2.8,827
7239,タチエス,7,57.1,9924,-0.95,1417
8830,住友不動産,12,50.0,9923,-3.82,826
7433,伯東,6,66.7,9794,-0.51,1632
3101,東洋紡,7,57.1,9781,-0.58,1397
3179,シュッピン,8,50.0,9737,-1.09,1217
4202,ダイセル,5,60.0,9690,-1.09,1938
6197,ソラスト,6,50.0,9655,-0.7,1609
8622,水戸証券,12,50.0,9608,-0.66,800
7581,サイゼリヤ,11,45.5,9604,-3.43,873
6727,ワコム,12,50.0,9590,-0.66,799
9533,東邦瓦斯,9,55.6,9527,-0.84,1058
7972,イトーキ,9,55.6,9494,-1.65,1054
6929,日本セラミック,8,50.0,9220,-0.8,1152
4732,ユー・エス・エス,10,50.0,9158,-0.96,915
8125,ワキタ,12,58.3,9065,-1.51,755
3402,東レ,9,66.7,9062,-0.79,1006
9274,ＫＰＰグループホールディングス,9,66.7,9046,-0.43,1005
6750,エレコム,10,50.0,8988,-1.02,898
4005,住友化学,9,77.8,8968,-0.33,996
3231,野村不動産ホールディングス,9,55.6,8853,-0.63,983
4385,メルカリ,8,50.0,8796,-1.78,1099
6592,マブチモーター,5,60.0,8716,-0.47,1743
6954,ファナック,7,57.1,8542,-2.23,1220
8079,正栄食品工業,7,57.1,8517,-0.87,1216
6560,エル・ティー・エス,10,50.0,8507,-3.02,850
6723,ルネサスエレクトロニクス,6,50.0,8475,-2.43,1412
7917,ＺＡＣＲＯＳ,9,66.7,8296,-0.8,921
8061,西華産業,16,50.0,8257,-2.29,516
7628,オーハシテクニカ,14,57.1,8251,-1.17,589
6209,リケンＮＰＲ,6,50.0,8098,-1.43,1349
3636,三菱総合研究所,7,57.1,8079,-2.38,1154
9644,タナベコンサルティンググループ,12,66.7,8003,-1.16,666
8056,ＢＩＰＲＯＧＹ,5,60.0,7869,-0.69,1573
3539,ＪＭホールディングス,11,45.5,7803,-1.76,709
2002,日清製粉グループ本社,6,50.0,7768,-1.03,1294
167A,リョーサン菱洋ホールディングス,9,55.6,7764,-1.91,862
6788,日本トリム,14,57.1,7651,-1.76,546
1333,Ｕｍｉｏｓ,6,66.7,7639,-0.42,1273
9990,サックスバー　ホールディングス,5,80.0,7621,-0.18,1524
5406,神戸製鋼所,7,57.1,7614,-0.98,1087
7088,フォーラムエンジニアリング,10,60.0,7608,-0.64,760
5357,ヨータイ,10,50.0,7607,-1.4,760
9934,因幡電機産業,14,64.3,7604,-0.92,543
2540,養命酒製造,15,60.0,7439,-2.49,495
4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,6,50.0,7306,-1.24,1217
8281,ゼビオホールディングス,13,53.8,7284,-1.11,560
5727,東邦チタニウム,6,50.0,7111,-1.96,1185
2982,ＡＤワークスグループ,8,75.0,7045,-0.52,880
1860,戸田建設,8,50.0,7033,-0.91,879
4968,荒川化学工業,13,53.8,6993,-2.05,537
4662,フォーカスシステムズ,10,50.0,6975,-1.52,697
7475,アルビス,9,55.6,6855,-1.28,761
2742,ハローズ,10,50.0,6738,-1.3,673
3289,東急不動産ホールディングス,9,55.6,6737,-0.53,748
8098,稲畑産業,12,50.0,6700,-2.23,558
7976,三菱鉛筆,11,54.5,6676,-2.59,606
3291,飯田グループホールディングス,8,62.5,6663,-1.62,832
7242,カヤバ,12,50.0,6616,-2.09,551
2734,サーラコーポレーション,16,50.0,6607,-1.02,412
7261,マツダ,5,60.0,6603,-0.87,1320
6958,日本シイエムケイ,7,57.1,6594,-0.46,942
8346,東邦銀行,12,50.0,6563,-0.55,546
9031,西日本鉄道,7,57.1,6561,-0.63,937
8601,大和証券グループ本社,7,71.4,6545,-0.44,935
5957,日東精工,11,63.6,6512,-0.39,592
9046,神戸電鉄,7,57.1,6507,-1.03,929
8585,オリエントコーポレーション,6,66.7,6505,-0.03,1084
4826,ＣＩＪ,8,50.0,6495,-0.47,811
8007,高島,10,50.0,6410,-0.45,641
2784,アルフレッサ　ホールディングス,5,80.0,6387,-0.84,1277
6744,能美防災,15,46.7,6376,-3.29,425
7085,カーブスホールディングス,9,66.7,6289,-0.44,698
4188,三菱ケミカルグループ,7,57.1,6198,-0.91,885
4318,クイック,6,50.0,6124,-0.17,1020
7575,日本ライフライン,9,66.7,6085,-0.7,676
3050,ＤＣＭホールディングス,11,54.5,6069,-1.01,551
8142,トーホー,6,66.7,6050,-0.63,1008
6472,ＮＴＮ,6,83.3,6036,-0.12,1006
7966,リンテック,8,50.0,5944,-1.96,743
4704,トレンドマイクロ,7,57.1,5890,-1.37,841
8194,ライフコーポレーション,12,58.3,5877,-1.44,489
2170,リンクアンドモチベーション,10,50.0,5776,-1.0,577
8771,イー・ギャランティ,5,60.0,5700,-0.68,1140
4337,ぴあ,6,50.0,5663,-1.62,943
3245,ディア・ライフ,6,50.0,5659,-0.44,943
4078,堺化学工業,12,50.0,5552,-2.01,462
7846,パイロットコーポレーション,14,50.0,5442,-2.32,388
9119,飯野海運,11,54.5,5277,-1.92,479
1945,東京エネシス,7,57.1,5249,-1.09,749
7818,トランザクション,6,50.0,5146,-1.44,857
4668,明光ネットワークジャパン,14,57.1,5142,-0.18,367
3288,オープンハウスグループ,13,53.8,5121,-4.22,393
8614,東洋証券,19,52.6,5047,-1.1,265
5461,中部鋼鈑,7,57.1,4979,-0.98,711
5471,大同特殊鋼,5,60.0,4971,-1.39,994
6718,アイホン,9,55.6,4847,-2.07,538
5902,ホッカンホールディングス,11,63.6,4832,-1.07,439
5852,アーレスティ,7,71.4,4704,-0.64,672
5208,有沢製作所,8,50.0,4700,-1.77,587
7438,コンドーテック,12,50.0,4562,-1.19,380
9511,沖縄電力,9,55.6,4415,-1.04,490
4461,第一工業製薬,10,60.0,4395,-2.28,439
3360,シップヘルスケアホールディングス,8,50.0,4391,-0.96,548
9364,上組,10,70.0,4359,-1.21,435
9740,セントラル警備保障,13,53.8,4065,-3.57,312
7552,ハピネット,14,57.1,4002,-3.85,285
4902,コニカミノルタ,7,57.1,3989,-0.38,569
6371,椿本チエイン,12,50.0,3904,-2.14,325
8600,トモニホールディングス,14,57.1,3854,-0.72,275
6184,鎌倉新書,10,50.0,3832,-0.87,383
2337,いちご,13,53.8,3831,-0.29,294
9534,北海道瓦斯,11,45.5,3726,-0.7,338
7616,コロワイド,6,50.0,3655,-0.65,609
8881,日神グループホールディングス,13,61.5,3591,-0.61,276
9536,西部ガスホールディングス,11,45.5,3582,-0.88,325
9001,東武鉄道,8,50.0,3554,-1.22,444
2492,インフォマート,8,50.0,3550,-0.6,443
6417,ＳＡＮＫＹＯ,12,58.3,3523,-2.59,293
5989,エイチワン,13,53.8,3520,-1.4,270
8219,青山商事,7,57.1,3435,-0.62,490
2531,宝ホールディングス,8,62.5,3397,-0.76,424
8093,極東貿易,6,66.7,3319,-0.82,553
2181,パーソルホールディングス,7,57.1,3280,-0.11,468
3176,三洋貿易,11,54.5,3274,-1.47,297
5959,岡部,7,57.1,3065,-0.41,437
9310,日本トランスシティ,11,54.5,3046,-1.32,276
3088,マツキヨココカラ＆カンパニー,9,55.6,3036,-1.6,337
8132,シナネンホールディングス,13,46.2,3029,-3.28,233
9003,相鉄ホールディングス,7,57.1,2962,-1.11,423
7513,コジマ,13,61.5,2950,-1.68,226
3198,ＳＦＰホールディングス,6,50.0,2935,-0.88,489
3769,ＧＭＯペイメントゲートウェイ,6,50.0,2917,-2.54,486
9502,中部電力,12,50.0,2897,-1.9,241
9470,学研ホールディングス,11,45.5,2879,-0.63,261
1871,ピーエス・コンストラクション,12,50.0,2795,-1.86,232
8359,八十二長野銀行,11,54.5,2774,-1.32,252
8511,日本証券金融,11,45.5,2769,-2.33,251
9006,京浜急行電鉄,9,55.6,2722,-0.97,302
9900,サガミホールディングス,16,50.0,2716,-2.2,169
9474,ゼンリン,6,66.7,2596,-0.7,432
8051,山善,9,77.8,2592,-1.02,288
7637,白銅,6,66.7,2551,-1.23,425
8130,サンゲツ,8,62.5,2463,-0.71,307
1375,ユキグニファクトリー,11,45.5,2327,-0.66,211
1726,ビーアールホールディングス,6,50.0,2265,-0.07,377
5991,日本発條,10,50.0,2196,-3.76,219
1878,大東建託,6,50.0,2087,-1.7,347
4433,ヒト・コミュニケーションズ・ホールディングス,9,55.6,2058,-0.97,228
1518,三井松島ホールディングス,10,50.0,1990,-1.39,199
4574,大幸薬品,6,50.0,1910,-0.38,318
2933,紀文食品,8,50.0,1904,-0.47,238
3167,ＴＯＫＡＩホールディングス,12,58.3,1869,-0.51,155
2602,日清オイリオグループ,5,60.0,1823,-1.11,364
7380,十六フィナンシャルグループ,12,58.3,1743,-1.4,145
8227,しまむら,13,46.2,1696,-2.51,130
7914,共同印刷,11,54.5,1693,-1.13,153
4114,日本触媒,8,50.0,1662,-1.0,207
2198,アイ・ケイ・ケイホールディングス,11,54.5,1597,-0.41,145
3903,ｇｕｍｉ,5,60.0,1539,-0.67,307
2146,ＵＴグループ,6,66.7,1526,-0.11,254
9509,北海道電力,7,57.1,1482,-0.83,211
2207,ｍｅｉｔｏ,14,50.0,1468,-2.56,104
7715,長野計器,9,66.7,1411,-1.2,156
8897,ＭＩＲＡＲＴＨホールディングス,5,60.0,1351,-0.16,270
6457,グローリー,6,50.0,1320,-0.93,220
6196,ストライクグループ,5,60.0,1302,-1.42,260
3284,フージャースホールディングス,13,53.8,1288,-0.9,99
8060,キヤノンマーケティングジャパン,16,62.5,1265,-1.85,79
5202,日本板硝子,10,50.0,1264,-1.29,126
8255,アクシアル　リテイリング,15,46.7,1234,-1.4,82
9997,ベルーナ,12,58.3,1186,-1.26,98
8081,カナデン,11,45.5,1091,-1.54,99
8153,モスフードサービス,13,53.8,1011,-1.25,77
3232,三重交通グループホールディングス,11,54.5,918,-0.36,83
2935,ピックルスホールディングス,8,50.0,849,-0.53,106
4228,積水化成品工業,6,50.0,759,-0.35,126
8185,チヨダ,7,57.1,690,-1.39,98
6458,新晃工業,6,50.0,657,-1.33,109
1887,日本国土開発,8,50.0,577,-0.34,72
9504,中国電力,6,50.0,444,-1.09,74
8595,ジャフコ　グループ,14,57.1,376,-1.79,26
9824,泉州電業,6,50.0,333,-2.65,55
1982,日比谷総合設備,12,50.0,254,-4.03,21
4072,電算システムホールディングス,5,60.0,111,-1.85,22
6762,ＴＤＫ,9,55.6,81,-1.81,9
